,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
671,13.01.2010,2010/24,Hans Jörg Käppeli,SP,Ruth Ackermann,CVP,Tiefbau- und Entsorgungsdepartement (TED)
672,13.11.2019,2019/486,Anjushka Früh,SP,Katharina Prelicz-Huber,Grüne,Gemeinderat
673,17.04.2013,2013/156,Alan David Sangines,SP,Samuel Dubno,GLP,
674,18.4.2007,2007/214,Balthasar Glättli,Grüne,Jacqueline Badran,SP,
675,08.01.20,2002/423,Karl Gafner,FDP,Andreas J. Schlegel,,
676,30.5.2001,2001/286,Bruno Sidler,SVP,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
677,23.01.2019,2019/28,Markus Baumann,GLP,Marcel Tobler,SP,Gemeinderat
678,08.01.20,2002/422,Karl Gafner,FDP,Andreas J. Schlegel,,
679,21.06.2017,2017/201,Isabel Garcia,GLP,Michael Schmid,FDP,
680,30.5.2001,2001/287,Markus Schwyn,PFZ,Rolf André Siegenthaler-Benz,SVP,Finanzdepartement (FD)
681,24.10.2007,2007/567,Mauro Tuena,SVP,Urs Egger,FDP,Präsidialdepartement (PRD)
682,21.03.2018,2018/119,Markus Knauss,Grüne,Simone Brander,SP,
683,25.2.2004,2004/87,Susi Gut,PFZ,Monika Erfigen,SVP,Polizeidepartement (PD)
684,12.03.2014,2014/69,Duri Beer,SP,Peider Filli,Grüne,Stadtrat
685,12.11.2003,2003/427,Susi Gut,PFZ,Mauro Tuena,SVP,Schul- und Sportdepartement (SSD)
686,6.12.2006,2006/576,Pierino Cerliani,Grüne,Mario Mariani,CVP,Departement der Industriellen Betriebe (DIB)
687,24.1.2007,2007/29,Karin Rykart Sutter,Grüne,Hans Urs von Matt,SP,
688,1.10.2003,2003/369,Daniel Leupi,Grüne,Christian Traber,CVP,Departement der Industriellen Betriebe (DIB)
689,12.1.2000,2000/20,Markus Schwyn,PFZ,Hansruedi Bär,SVP,Sozialdepartement (SD)
690,30.10.2013,2013/369,Marcel Schönbächler,CVP,Peter Küng,SP,
691,23.11.2005,2005/489,Balthasar Glättli,Grüne,Gerold Lauber,CVP,
692,7.1.2009,2009/10,Daniel Meier,CVP,Peter Anderegg,EVP,Gesundheits- und Umweltdepartement (GUD)
693,18.04.2012,2008/333,Martin Sarbach,SP,Markus Knauss,Grüne,
694,01.04.2009,2009/120,Hans Bachmann,FDP,Peter Anderegg,EVP,Polizeidepartement (PD)
695,15.12.2004,2004/671,Hans Jörg Käppeli,SP,Kurt Maeder,CVP,Departement der Industriellen Betriebe (DIB)
696,08.01.20,2018/327,Pascal Lamprecht,SP,Markus Baumann,GLP,
697,3.3.2004,2004/103,Ueli Nagel,Grüne,Franziska Graf,SP,Gesundheits- und Umweltdepartement (GUD)
698,15.12.2004,2004/665,Myriam Barzotto,SP,Christoph Hug,Grüne,Gesundheits- und Umweltdepartement (GUD)
699,26.03.2014,2014/96,Eva-Maria Würth,SP,Karin Weyermann,CVP,
700,20.03.2019,2019/108,Markus Baumann,GLP,Marco Geissbühler,SP,Gemeinderat
701,18.6.2008,2008/284,Niklaus Scherr,AL,Jacqueline Badran,SP,Finanzdepartement (FD)
702,19.06.2013,2013/235,Guido Trevisan,GLP,Marcel Schönbächler,CVP,Stadtrat
703,5.12.2007,2007/639,Walter Angst,AL,Jean-Claude Virchaux,CVP,Sozialdepartement (SD)
704,13.9.2000,2000/447,Markus Schwyn,PFZ,Mauro Tuena,SVP,Präsidialdepartement (PRD)
705,14.06.2017,2017/188,Ann-Catherine Nabholz,GLP,Gabriele Kisker,Grüne,
706,14.12.2011,2011/495,Hans Jörg Käppeli,SP,Thomas Wyss,Grüne,
707,19.6.2002,2002/218,Marcel Savarioud,SP,Gerold Lauber,CVP,
708,26.5.2004,2004/261,Bernhard Britschgi,SVP,Susi Gut,PFZ,Polizeidepartement (PD)
709,04.12.2019,2019/524,Marion Schmid,SP,Corina Ursprung,FDP,Gemeinderat
710,13.6.2001,2001/330,Markus Schwyn,PFZ,Marina Garzotto,SVP,Präsidialdepartement (PRD)
711,03.09.2014,2014/275,Markus Knauss,Grüne,Simone Brander,SP,Tiefbau- und Entsorgungsdepartement (TED)
712,10.06.2009,2009/256,Pierino Cerliani,Grüne,Jean-Daniel Strub,SP,
713,06.02.2008,2008/87,Gregor Bucher,,Mischa Morgenbesser,FDP,Schul- und Sportdepartement (SSD)
714,04.12.2019,2019/530,Florian Utz,SP,Matthias Probst,Grüne,Stadtrat
715,6.6.2001,2001/318,Renate Schoch,AL,Thelma Huber,FraP,Hochbaudepartement (HBD)
716,12.5.2004,2004/249,Susi Gut,PFZ,Kurt Haueter,SVP,Hochbaudepartement (HBD)
717,21.8.2002,2002/280,Georg Schmid,CVP,Ernst Danner,EVP,Polizeidepartement (PD)
718,22.05.2019,2019/225,Elena Marti,Grüne,Alan David Sangines,SP,Gemeinderat
719,3.7.2002,2002/243,Georg Schmid,CVP,Ernst Danner,EVP,Polizeidepartement (PD)
